Statistic,Date2,County,UNIT,VALUE,Date
Staying Local Indicator,2020 September 18,Carlow,%,42.8,18/09/2020
Staying Local Indicator,2020 September 18,Kilkenny,%,47.8,18/09/2020
Staying Local Indicator,2020 September 18,Tipperary,%,43.9,18/09/2020
Staying Local Indicator,2020 September 18,Wexford,%,47.5,18/09/2020
Staying Local Indicator,2020 September 18,Kerry,%,47.1,18/09/2020
Staying Local Indicator,2020 September 18,Cork,%,51.9,18/09/2020
Staying Local Indicator,2020 September 18,Galway,%,48.6,18/09/2020
Staying Local Indicator,2020 September 18,Limerick,%,52.8,18/09/2020
Staying Local Indicator,2020 September 18,Waterford,%,54.5,18/09/2020
Staying Local Indicator,2020 September 19,State,%,54.1,19/09/2020
Staying Local Indicator,2020 September 19,Cavan,%,45.8,19/09/2020
Staying Local Indicator,2020 September 19,Donegal,%,45.2,19/09/2020
Staying Local Indicator,2020 September 19,Leitrim,%,43.8,19/09/2020
Staying Local Indicator,2020 September 19,Louth,%,57,19/09/2020
Staying Local Indicator,2020 September 19,Monaghan,%,47.4,19/09/2020
Staying Local Indicator,2020 September 19,Sligo,%,45.3,19/09/2020
Staying Local Indicator,2020 September 19,Laois,%,45.4,19/09/2020
Staying Local Indicator,2020 September 19,Longford,%,46.1,19/09/2020
Staying Local Indicator,2020 September 19,Offaly,%,45.8,19/09/2020
Staying Local Indicator,2020 September 19,Westmeath,%,51.3,19/09/2020
Staying Local Indicator,2020 September 19,Mayo,%,42.1,19/09/2020
Staying Local Indicator,2020 September 19,Roscommon,%,42.8,19/09/2020
Staying Local Indicator,2020 September 19,Dublin,%,68,19/09/2020
Staying Local Indicator,2020 September 19,Kildare,%,49,19/09/2020
Staying Local Indicator,2020 September 19,Meath,%,49.7,19/09/2020
Staying Local Indicator,2020 September 19,Wicklow,%,52,19/09/2020
Staying Local Indicator,2020 September 19,Clare,%,45.3,19/09/2020
Staying Local Indicator,2020 September 19,Carlow,%,42.6,19/09/2020
Staying Local Indicator,2020 September 19,Kilkenny,%,47.6,19/09/2020
Staying Local Indicator,2020 September 19,Tipperary,%,43.5,19/09/2020
Staying Local Indicator,2020 September 19,Wexford,%,47.3,19/09/2020
Staying Local Indicator,2020 September 19,Kerry,%,46.8,19/09/2020
Staying Local Indicator,2020 September 19,Cork,%,51.7,19/09/2020
Staying Local Indicator,2020 September 19,Galway,%,48.3,19/09/2020
Staying Local Indicator,2020 September 19,Limerick,%,52.6,19/09/2020
Staying Local Indicator,2020 September 19,Waterford,%,54.2,19/09/2020
Staying Local Indicator,2020 September 20,State,%,54.1,20/09/2020
Staying Local Indicator,2020 September 20,Cavan,%,45.6,20/09/2020
Staying Local Indicator,2020 September 20,Donegal,%,44.7,20/09/2020
Staying Local Indicator,2020 September 20,Leitrim,%,43.3,20/09/2020
Staying Local Indicator,2020 September 20,Louth,%,57,20/09/2020
Staying Local Indicator,2020 September 20,Monaghan,%,47.2,20/09/2020
Staying Local Indicator,2020 September 20,Sligo,%,44.9,20/09/2020
Staying Local Indicator,2020 September 20,Laois,%,45.4,20/09/2020
Staying Local Indicator,2020 September 20,Longford,%,46,20/09/2020
Staying Local Indicator,2020 September 20,Offaly,%,45.7,20/09/2020
Staying Local Indicator,2020 September 20,Westmeath,%,51.3,20/09/2020
Staying Local Indicator,2020 September 20,Mayo,%,41.6,20/09/2020
Staying Local Indicator,2020 September 20,Roscommon,%,42.6,20/09/2020
Staying Local Indicator,2020 September 20,Dublin,%,68.7,20/09/2020
Staying Local Indicator,2020 September 20,Kildare,%,49,20/09/2020
Staying Local Indicator,2020 September 20,Meath,%,50.1,20/09/2020
Staying Local Indicator,2020 September 20,Wicklow,%,52.2,20/09/2020
Staying Local Indicator,2020 September 20,Clare,%,45.1,20/09/2020
Staying Local Indicator,2020 September 20,Carlow,%,42.4,20/09/2020
Staying Local Indicator,2020 September 20,Kilkenny,%,47.1,20/09/2020
Staying Local Indicator,2020 September 20,Tipperary,%,43.3,20/09/2020
Staying Local Indicator,2020 September 20,Wexford,%,46.9,20/09/2020
Staying Local Indicator,2020 September 20,Kerry,%,46.3,20/09/2020
Staying Local Indicator,2020 September 20,Cork,%,51.3,20/09/2020
Staying Local Indicator,2020 September 20,Galway,%,48,20/09/2020
Staying Local Indicator,2020 September 20,Limerick,%,52.3,20/09/2020
Staying Local Indicator,2020 September 20,Waterford,%,53.6,20/09/2020
Staying Local Indicator,2020 September 21,State,%,53.9,21/09/2020
Staying Local Indicator,2020 September 21,Cavan,%,45.2,21/09/2020
Staying Local Indicator,2020 September 21,Donegal,%,44.3,21/09/2020
Staying Local Indicator,2020 September 21,Leitrim,%,43.1,21/09/2020
Staying Local Indicator,2020 September 21,Louth,%,56.8,21/09/2020
Staying Local Indicator,2020 September 21,Monaghan,%,47,21/09/2020
Staying Local Indicator,2020 September 21,Sligo,%,44.6,21/09/2020
Staying Local Indicator,2020 September 21,Laois,%,45,21/09/2020
Staying Local Indicator,2020 September 21,Longford,%,45.9,21/09/2020
Staying Local Indicator,2020 September 21,Offaly,%,45.4,21/09/2020
Staying Local Indicator,2020 September 21,Westmeath,%,51.1,21/09/2020
Staying Local Indicator,2020 September 21,Mayo,%,41.3,21/09/2020
Staying Local Indicator,2020 September 21,Roscommon,%,42.3,21/09/2020
Staying Local Indicator,2020 September 21,Dublin,%,68.6,21/09/2020
Staying Local Indicator,2020 September 21,Kildare,%,48.9,21/09/2020
Staying Local Indicator,2020 September 21,Meath,%,50.1,21/09/2020
Staying Local Indicator,2020 September 21,Wicklow,%,52.2,21/09/2020
Staying Local Indicator,2020 September 21,Clare,%,44.7,21/09/2020
Staying Local Indicator,2020 September 21,Carlow,%,41.9,21/09/2020
Staying Local Indicator,2020 September 21,Kilkenny,%,46.6,21/09/2020
Staying Local Indicator,2020 September 21,Tipperary,%,43,21/09/2020
Staying Local Indicator,2020 September 21,Wexford,%,46.6,21/09/2020
Staying Local Indicator,2020 September 21,Kerry,%,46.1,21/09/2020
Staying Local Indicator,2020 September 21,Cork,%,50.9,21/09/2020
Staying Local Indicator,2020 September 21,Galway,%,47.8,21/09/2020
Staying Local Indicator,2020 September 21,Limerick,%,52,21/09/2020
Staying Local Indicator,2020 September 21,Waterford,%,53,21/09/2020
Staying Local Indicator,2020 September 22,State,%,53.9,22/09/2020
Staying Local Indicator,2020 September 22,Cavan,%,45.2,22/09/2020
Staying Local Indicator,2020 September 22,Donegal,%,44.4,22/09/2020
Staying Local Indicator,2020 September 22,Leitrim,%,43.2,22/09/2020
Staying Local Indicator,2020 September 22,Louth,%,56.6,22/09/2020
Staying Local Indicator,2020 September 22,Monaghan,%,46.9,22/09/2020
Staying Local Indicator,2020 September 22,Sligo,%,44.7,22/09/2020
Staying Local Indicator,2020 September 22,Laois,%,45,22/09/2020
Staying Local Indicator,2020 September 22,Longford,%,46,22/09/2020
Staying Local Indicator,2020 September 22,Offaly,%,45.4,22/09/2020
Staying Local Indicator,2020 September 22,Westmeath,%,51.1,22/09/2020
Staying Local Indicator,2020 September 22,Mayo,%,41.3,22/09/2020
Staying Local Indicator,2020 September 22,Roscommon,%,42.3,22/09/2020
Staying Local Indicator,2020 September 22,Dublin,%,68.8,22/09/2020
Staying Local Indicator,2020 September 22,Kildare,%,49,22/09/2020
Staying Local Indicator,2020 September 22,Meath,%,50.2,22/09/2020
Staying Local Indicator,2020 September 22,Wicklow,%,52.2,22/09/2020
Staying Local Indicator,2020 September 22,Clare,%,44.6,22/09/2020
Staying Local Indicator,2020 September 22,Carlow,%,41.9,22/09/2020
Staying Local Indicator,2020 September 22,Kilkenny,%,46.5,22/09/2020
Staying Local Indicator,2020 September 22,Tipperary,%,42.9,22/09/2020
Staying Local Indicator,2020 September 22,Wexford,%,46.6,22/09/2020
Staying Local Indicator,2020 September 22,Kerry,%,46,22/09/2020
Staying Local Indicator,2020 September 22,Cork,%,50.7,22/09/2020
Staying Local Indicator,2020 September 22,Galway,%,47.8,22/09/2020
Staying Local Indicator,2020 September 22,Limerick,%,51.7,22/09/2020
Staying Local Indicator,2020 September 22,Waterford,%,52.9,22/09/2020
Staying Local Indicator,2020 September 23,State,%,53.9,23/09/2020
Staying Local Indicator,2020 September 23,Cavan,%,45,23/09/2020
Staying Local Indicator,2020 September 23,Donegal,%,44.1,23/09/2020
Staying Local Indicator,2020 September 23,Leitrim,%,43,23/09/2020
Staying Local Indicator,2020 September 23,Louth,%,56.5,23/09/2020
Staying Local Indicator,2020 September 23,Monaghan,%,46.8,23/09/2020
Staying Local Indicator,2020 September 23,Sligo,%,44.5,23/09/2020
Staying Local Indicator,2020 September 23,Laois,%,44.8,23/09/2020
Staying Local Indicator,2020 September 23,Longford,%,46,23/09/2020
Staying Local Indicator,2020 September 23,Offaly,%,45.1,23/09/2020
Staying Local Indicator,2020 September 23,Westmeath,%,51,23/09/2020
Staying Local Indicator,2020 September 23,Mayo,%,41.1,23/09/2020
Staying Local Indicator,2020 September 23,Roscommon,%,42.1,23/09/2020
Staying Local Indicator,2020 September 23,Dublin,%,68.9,23/09/2020
Staying Local Indicator,2020 September 23,Kildare,%,49.1,23/09/2020
Staying Local Indicator,2020 September 23,Meath,%,50.2,23/09/2020
Staying Local Indicator,2020 September 23,Wicklow,%,52.4,23/09/2020
Staying Local Indicator,2020 September 23,Clare,%,44.2,23/09/2020
Staying Local Indicator,2020 September 23,Carlow,%,41.7,23/09/2020
Staying Local Indicator,2020 September 23,Kilkenny,%,46.3,23/09/2020
Staying Local Indicator,2020 September 23,Tipperary,%,42.8,23/09/2020
Staying Local Indicator,2020 September 23,Wexford,%,46.6,23/09/2020
Staying Local Indicator,2020 September 23,Kerry,%,45.8,23/09/2020
Staying Local Indicator,2020 September 23,Cork,%,50.7,23/09/2020
Staying Local Indicator,2020 September 23,Galway,%,47.7,23/09/2020
Staying Local Indicator,2020 September 23,Limerick,%,51.6,23/09/2020
Staying Local Indicator,2020 September 23,Waterford,%,53,23/09/2020
Staying Local Indicator,2020 September 24,State,%,54,24/09/2020
Staying Local Indicator,2020 September 24,Cavan,%,45,24/09/2020
Staying Local Indicator,2020 September 24,Donegal,%,44.1,24/09/2020
Staying Local Indicator,2020 September 24,Leitrim,%,42.9,24/09/2020
Staying Local Indicator,2020 September 24,Louth,%,56.6,24/09/2020
Staying Local Indicator,2020 September 24,Monaghan,%,46.8,24/09/2020
Staying Local Indicator,2020 September 24,Sligo,%,44.4,24/09/2020
Staying Local Indicator,2020 September 24,Laois,%,44.8,24/09/2020
Staying Local Indicator,2020 September 24,Longford,%,46.1,24/09/2020
Staying Local Indicator,2020 September 24,Offaly,%,45,24/09/2020
Staying Local Indicator,2020 September 24,Westmeath,%,51,24/09/2020
Staying Local Indicator,2020 September 24,Mayo,%,41.1,24/09/2020
Staying Local Indicator,2020 September 24,Roscommon,%,41.9,24/09/2020
Staying Local Indicator,2020 September 24,Dublin,%,69.3,24/09/2020
Staying Local Indicator,2020 September 24,Kildare,%,49.3,24/09/2020
Staying Local Indicator,2020 September 24,Meath,%,50.4,24/09/2020
Staying Local Indicator,2020 September 24,Wicklow,%,52.6,24/09/2020
Staying Local Indicator,2020 September 24,Clare,%,44.1,24/09/2020
Staying Local Indicator,2020 September 24,Carlow,%,41.7,24/09/2020
Staying Local Indicator,2020 September 24,Kilkenny,%,46.4,24/09/2020
Staying Local Indicator,2020 September 24,Tipperary,%,42.8,24/09/2020
Staying Local Indicator,2020 September 24,Wexford,%,46.7,24/09/2020
Staying Local Indicator,2020 September 24,Kerry,%,46,24/09/2020
Staying Local Indicator,2020 September 24,Cork,%,50.7,24/09/2020
Staying Local Indicator,2020 September 24,Galway,%,47.8,24/09/2020
Staying Local Indicator,2020 September 24,Limerick,%,51.6,24/09/2020
Staying Local Indicator,2020 September 24,Waterford,%,53,24/09/2020
Staying Local Indicator,2020 September 25,State,%,54.2,25/09/2020
Staying Local Indicator,2020 September 25,Cavan,%,45.1,25/09/2020
Staying Local Indicator,2020 September 25,Donegal,%,44.4,25/09/2020
Staying Local Indicator,2020 September 25,Leitrim,%,42.9,25/09/2020
Staying Local Indicator,2020 September 25,Louth,%,56.6,25/09/2020
Staying Local Indicator,2020 September 25,Monaghan,%,46.8,25/09/2020
Staying Local Indicator,2020 September 25,Sligo,%,44.6,25/09/2020
Staying Local Indicator,2020 September 25,Laois,%,44.9,25/09/2020
Staying Local Indicator,2020 September 25,Longford,%,46.2,25/09/2020
Staying Local Indicator,2020 September 25,Offaly,%,45.1,25/09/2020
Staying Local Indicator,2020 September 25,Westmeath,%,51,25/09/2020
Staying Local Indicator,2020 September 25,Mayo,%,41.2,25/09/2020
Staying Local Indicator,2020 September 25,Roscommon,%,41.9,25/09/2020
Staying Local Indicator,2020 September 25,Dublin,%,69.7,25/09/2020
Staying Local Indicator,2020 September 25,Kildare,%,49.5,25/09/2020
Staying Local Indicator,2020 September 25,Meath,%,50.5,25/09/2020
Staying Local Indicator,2020 September 25,Wicklow,%,52.9,25/09/2020
Staying Local Indicator,2020 September 25,Clare,%,44.2,25/09/2020
Staying Local Indicator,2020 September 25,Carlow,%,41.9,25/09/2020
Staying Local Indicator,2020 September 25,Kilkenny,%,46.5,25/09/2020
Staying Local Indicator,2020 September 25,Tipperary,%,42.8,25/09/2020
Staying Local Indicator,2020 September 25,Wexford,%,46.7,25/09/2020
Staying Local Indicator,2020 September 25,Kerry,%,46.2,25/09/2020
Staying Local Indicator,2020 September 25,Cork,%,50.9,25/09/2020
Staying Local Indicator,2020 September 25,Galway,%,47.9,25/09/2020
Staying Local Indicator,2020 September 25,Limerick,%,51.8,25/09/2020
Staying Local Indicator,2020 September 25,Waterford,%,53,25/09/2020
Staying Local Indicator,2020 September 26,State,%,54.2,26/09/2020
Staying Local Indicator,2020 September 26,Cavan,%,45,26/09/2020
Staying Local Indicator,2020 September 26,Donegal,%,45,26/09/2020
Staying Local Indicator,2020 September 26,Leitrim,%,43.1,26/09/2020
Staying Local Indicator,2020 September 26,Louth,%,56.5,26/09/2020
Staying Local Indicator,2020 September 26,Monaghan,%,47,26/09/2020
Staying Local Indicator,2020 September 26,Sligo,%,44.8,26/09/2020
Staying Local Indicator,2020 September 26,Laois,%,44.7,26/09/2020
Staying Local Indicator,2020 September 26,Longford,%,46.1,26/09/2020
Staying Local Indicator,2020 September 26,Offaly,%,45.1,26/09/2020
Staying Local Indicator,2020 September 26,Westmeath,%,50.6,26/09/2020
Staying Local Indicator,2020 September 26,Mayo,%,41.3,26/09/2020
Staying Local Indicator,2020 September 26,Roscommon,%,41.8,26/09/2020
Staying Local Indicator,2020 September 26,Dublin,%,69.5,26/09/2020
Staying Local Indicator,2020 September 26,Kildare,%,49.3,26/09/2020
Staying Local Indicator,2020 September 26,Meath,%,50.2,26/09/2020
Staying Local Indicator,2020 September 26,Wicklow,%,52.7,26/09/2020
Staying Local Indicator,2020 September 26,Clare,%,44.2,26/09/2020
Staying Local Indicator,2020 September 26,Carlow,%,42,26/09/2020
Staying Local Indicator,2020 September 26,Kilkenny,%,46.5,26/09/2020
Staying Local Indicator,2020 September 26,Tipperary,%,42.9,26/09/2020
Staying Local Indicator,2020 September 26,Wexford,%,46.6,26/09/2020
Staying Local Indicator,2020 September 26,Kerry,%,46.2,26/09/2020
Staying Local Indicator,2020 September 26,Cork,%,50.9,26/09/2020
Staying Local Indicator,2020 September 26,Galway,%,47.9,26/09/2020
Staying Local Indicator,2020 September 26,Limerick,%,51.8,26/09/2020
Staying Local Indicator,2020 September 26,Waterford,%,53,26/09/2020
Staying Local Indicator,2020 September 27,State,%,54.4,27/09/2020
Staying Local Indicator,2020 September 27,Cavan,%,45.2,27/09/2020
Staying Local Indicator,2020 September 27,Donegal,%,45.6,27/09/2020
Staying Local Indicator,2020 September 27,Leitrim,%,43.4,27/09/2020
Staying Local Indicator,2020 September 27,Louth,%,56.6,27/09/2020
Staying Local Indicator,2020 September 27,Monaghan,%,47.4,27/09/2020
Staying Local Indicator,2020 September 27,Sligo,%,45.2,27/09/2020
Staying Local Indicator,2020 September 27,Laois,%,44.9,27/09/2020
Staying Local Indicator,2020 September 27,Longford,%,46.2,27/09/2020
Staying Local Indicator,2020 September 27,Offaly,%,45.3,27/09/2020
Staying Local Indicator,2020 September 27,Westmeath,%,50.8,27/09/2020
Staying Local Indicator,2020 September 27,Mayo,%,41.6,27/09/2020
Staying Local Indicator,2020 September 27,Roscommon,%,42.1,27/09/2020
Staying Local Indicator,2020 September 27,Dublin,%,69.6,27/09/2020
Staying Local Indicator,2020 September 27,Kildare,%,49.4,27/09/2020
Staying Local Indicator,2020 September 27,Meath,%,50.1,27/09/2020
Staying Local Indicator,2020 September 27,Wicklow,%,52.7,27/09/2020
Staying Local Indicator,2020 September 27,Clare,%,44.6,27/09/2020
Staying Local Indicator,2020 September 27,Carlow,%,42.2,27/09/2020
Staying Local Indicator,2020 September 27,Kilkenny,%,46.8,27/09/2020
Staying Local Indicator,2020 September 27,Tipperary,%,43,27/09/2020
Staying Local Indicator,2020 September 27,Wexford,%,46.7,27/09/2020
Staying Local Indicator,2020 September 27,Kerry,%,46.6,27/09/2020
Staying Local Indicator,2020 September 27,Cork,%,51.3,27/09/2020
Staying Local Indicator,2020 September 27,Galway,%,48.2,27/09/2020
Staying Local Indicator,2020 September 27,Limerick,%,52.2,27/09/2020
Staying Local Indicator,2020 September 27,Waterford,%,53.2,27/09/2020
Staying Local Indicator,2020 September 28,State,%,54.8,28/09/2020
Staying Local Indicator,2020 September 28,Cavan,%,45.5,28/09/2020
Staying Local Indicator,2020 September 28,Donegal,%,46.2,28/09/2020
Staying Local Indicator,2020 September 28,Leitrim,%,43.7,28/09/2020
Staying Local Indicator,2020 September 28,Louth,%,57,28/09/2020
Staying Local Indicator,2020 September 28,Monaghan,%,47.6,28/09/2020
Staying Local Indicator,2020 September 28,Sligo,%,45.6,28/09/2020
Staying Local Indicator,2020 September 28,Laois,%,45.2,28/09/2020
Staying Local Indicator,2020 September 28,Longford,%,46.4,28/09/2020
Staying Local Indicator,2020 September 28,Offaly,%,45.7,28/09/2020
Staying Local Indicator,2020 September 28,Westmeath,%,51,28/09/2020
Staying Local Indicator,2020 September 28,Mayo,%,41.9,28/09/2020
Staying Local Indicator,2020 September 28,Roscommon,%,42.4,28/09/2020
Staying Local Indicator,2020 September 28,Dublin,%,70.2,28/09/2020
Staying Local Indicator,2020 September 28,Kildare,%,49.7,28/09/2020
Staying Local Indicator,2020 September 28,Meath,%,50.5,28/09/2020
Staying Local Indicator,2020 September 28,Wicklow,%,53,28/09/2020
Staying Local Indicator,2020 September 28,Clare,%,45,28/09/2020
Staying Local Indicator,2020 September 28,Carlow,%,42.6,28/09/2020
Staying Local Indicator,2020 September 28,Kilkenny,%,47.3,28/09/2020
Staying Local Indicator,2020 September 28,Tipperary,%,43.3,28/09/2020
Staying Local Indicator,2020 September 28,Wexford,%,47.2,28/09/2020
Staying Local Indicator,2020 September 28,Kerry,%,46.9,28/09/2020
Staying Local Indicator,2020 September 28,Cork,%,51.9,28/09/2020
Staying Local Indicator,2020 September 28,Galway,%,48.6,28/09/2020
Staying Local Indicator,2020 September 28,Limerick,%,52.8,28/09/2020
Staying Local Indicator,2020 September 28,Waterford,%,53.7,28/09/2020
Staying Local Indicator,2020 September 29,State,%,54.8,29/09/2020
Staying Local Indicator,2020 September 29,Cavan,%,45.2,29/09/2020
Staying Local Indicator,2020 September 29,Donegal,%,46.2,29/09/2020
Staying Local Indicator,2020 September 29,Leitrim,%,43.4,29/09/2020
Staying Local Indicator,2020 September 29,Louth,%,57,29/09/2020
Staying Local Indicator,2020 September 29,Monaghan,%,47.2,29/09/2020
Staying Local Indicator,2020 September 29,Sligo,%,45.5,29/09/2020
Staying Local Indicator,2020 September 29,Laois,%,45,29/09/2020
Staying Local Indicator,2020 September 29,Longford,%,46.2,29/09/2020
Staying Local Indicator,2020 September 29,Offaly,%,45.5,29/09/2020
Staying Local Indicator,2020 September 29,Westmeath,%,50.8,29/09/2020
Staying Local Indicator,2020 September 29,Mayo,%,41.6,29/09/2020
Staying Local Indicator,2020 September 29,Roscommon,%,42.2,29/09/2020
Staying Local Indicator,2020 September 29,Dublin,%,70.3,29/09/2020
Staying Local Indicator,2020 September 29,Kildare,%,49.5,29/09/2020
Staying Local Indicator,2020 September 29,Meath,%,50.3,29/09/2020
Staying Local Indicator,2020 September 29,Wicklow,%,52.9,29/09/2020
Staying Local Indicator,2020 September 29,Clare,%,44.7,29/09/2020
Staying Local Indicator,2020 September 29,Carlow,%,42.3,29/09/2020
Staying Local Indicator,2020 September 29,Kilkenny,%,47.1,29/09/2020
Staying Local Indicator,2020 September 29,Tipperary,%,43.1,29/09/2020
Staying Local Indicator,2020 September 29,Wexford,%,46.9,29/09/2020
Staying Local Indicator,2020 September 29,Kerry,%,46.7,29/09/2020
Staying Local Indicator,2020 September 29,Cork,%,51.9,29/09/2020
Staying Local Indicator,2020 September 29,Galway,%,48.5,29/09/2020
Staying Local Indicator,2020 September 29,Limerick,%,52.7,29/09/2020
Staying Local Indicator,2020 September 29,Waterford,%,53.5,29/09/2020
Staying Local Indicator,2020 September 30,State,%,54.9,30/09/2020
Staying Local Indicator,2020 September 30,Cavan,%,45,30/09/2020
Staying Local Indicator,2020 September 30,Donegal,%,46.5,30/09/2020
Staying Local Indicator,2020 September 30,Leitrim,%,43.1,30/09/2020
Staying Local Indicator,2020 September 30,Louth,%,57.2,30/09/2020
Staying Local Indicator,2020 September 30,Monaghan,%,46.9,30/09/2020
Staying Local Indicator,2020 September 30,Sligo,%,45.5,30/09/2020
Staying Local Indicator,2020 September 30,Laois,%,44.9,30/09/2020
Staying Local Indicator,2020 September 30,Longford,%,46.1,30/09/2020
Staying Local Indicator,2020 September 30,Offaly,%,45.5,30/09/2020
Staying Local Indicator,2020 September 30,Westmeath,%,50.8,30/09/2020
Staying Local Indicator,2020 September 30,Mayo,%,41.5,30/09/2020
Staying Local Indicator,2020 September 30,Roscommon,%,42.1,30/09/2020
Staying Local Indicator,2020 September 30,Dublin,%,70.6,30/09/2020
Staying Local Indicator,2020 September 30,Kildare,%,49.6,30/09/2020
Staying Local Indicator,2020 September 30,Meath,%,50.4,30/09/2020
Staying Local Indicator,2020 September 30,Wicklow,%,52.9,30/09/2020
Staying Local Indicator,2020 September 30,Clare,%,44.8,30/09/2020
Staying Local Indicator,2020 September 30,Carlow,%,42.3,30/09/2020
Staying Local Indicator,2020 September 30,Kilkenny,%,47.1,30/09/2020
Staying Local Indicator,2020 September 30,Tipperary,%,43,30/09/2020
Staying Local Indicator,2020 September 30,Wexford,%,46.8,30/09/2020
Staying Local Indicator,2020 September 30,Kerry,%,46.6,30/09/2020
Staying Local Indicator,2020 September 30,Cork,%,51.9,30/09/2020
Staying Local Indicator,2020 September 30,Galway,%,48.6,30/09/2020
Staying Local Indicator,2020 September 30,Limerick,%,52.9,30/09/2020
Staying Local Indicator,2020 September 30,Waterford,%,53.5,30/09/2020
Staying Local Indicator,2020 October 01,State,%,54.9,01/10/2020
Staying Local Indicator,2020 October 01,Cavan,%,44.9,01/10/2020
Staying Local Indicator,2020 October 01,Donegal,%,46.8,01/10/2020
Staying Local Indicator,2020 October 01,Leitrim,%,43.1,01/10/2020
Staying Local Indicator,2020 October 01,Louth,%,57.2,01/10/2020
Staying Local Indicator,2020 October 01,Monaghan,%,46.8,01/10/2020
Staying Local Indicator,2020 October 01,Sligo,%,45.7,01/10/2020
Staying Local Indicator,2020 October 01,Laois,%,45,01/10/2020
Staying Local Indicator,2020 October 01,Longford,%,46.2,01/10/2020
Staying Local Indicator,2020 October 01,Offaly,%,45.6,01/10/2020
Staying Local Indicator,2020 October 01,Westmeath,%,50.7,01/10/2020
Staying Local Indicator,2020 October 01,Mayo,%,41.6,01/10/2020
Staying Local Indicator,2020 October 01,Roscommon,%,42.2,01/10/2020
Staying Local Indicator,2020 October 01,Dublin,%,70.6,01/10/2020
Staying Local Indicator,2020 October 01,Kildare,%,49.7,01/10/2020
Staying Local Indicator,2020 October 01,Meath,%,50.4,01/10/2020
Staying Local Indicator,2020 October 01,Wicklow,%,53,01/10/2020
Staying Local Indicator,2020 October 01,Clare,%,44.8,01/10/2020
Staying Local Indicator,2020 October 01,Carlow,%,42.4,01/10/2020
Staying Local Indicator,2020 October 01,Kilkenny,%,47.1,01/10/2020
Staying Local Indicator,2020 October 01,Tipperary,%,43,01/10/2020
Staying Local Indicator,2020 October 01,Wexford,%,46.8,01/10/2020
Staying Local Indicator,2020 October 01,Kerry,%,46.5,01/10/2020
Staying Local Indicator,2020 October 01,Cork,%,52,01/10/2020
Staying Local Indicator,2020 October 01,Galway,%,48.8,01/10/2020
Staying Local Indicator,2020 October 01,Limerick,%,53.1,01/10/2020
Staying Local Indicator,2020 October 01,Waterford,%,53.6,01/10/2020
Staying Local Indicator,2020 October 02,State,%,55.3,02/10/2020
Staying Local Indicator,2020 October 02,Cavan,%,45,02/10/2020
Staying Local Indicator,2020 October 02,Donegal,%,47.3,02/10/2020
Staying Local Indicator,2020 October 02,Leitrim,%,43.3,02/10/2020
Staying Local Indicator,2020 October 02,Louth,%,57.6,02/10/2020
Staying Local Indicator,2020 October 02,Monaghan,%,47.2,02/10/2020
Staying Local Indicator,2020 October 02,Sligo,%,46.1,02/10/2020
Staying Local Indicator,2020 October 02,Laois,%,45.1,02/10/2020
Staying Local Indicator,2020 October 02,Longford,%,46.3,02/10/2020
Staying Local Indicator,2020 October 02,Offaly,%,45.9,02/10/2020
Staying Local Indicator,2020 October 02,Westmeath,%,51,02/10/2020
Staying Local Indicator,2020 October 02,Mayo,%,41.8,02/10/2020
Staying Local Indicator,2020 October 02,Roscommon,%,42.6,02/10/2020
Staying Local Indicator,2020 October 02,Dublin,%,71.1,02/10/2020
Staying Local Indicator,2020 October 02,Kildare,%,50.2,02/10/2020
Staying Local Indicator,2020 October 02,Meath,%,50.7,02/10/2020
Staying Local Indicator,2020 October 02,Wicklow,%,53.2,02/10/2020
Staying Local Indicator,2020 October 02,Clare,%,45.1,02/10/2020
Staying Local Indicator,2020 October 02,Carlow,%,42.8,02/10/2020
Staying Local Indicator,2020 October 02,Kilkenny,%,47.4,02/10/2020
Staying Local Indicator,2020 October 02,Tipperary,%,43.2,02/10/2020
Staying Local Indicator,2020 October 02,Wexford,%,47.1,02/10/2020
Staying Local Indicator,2020 October 02,Kerry,%,46.6,02/10/2020
Staying Local Indicator,2020 October 02,Cork,%,52.5,02/10/2020
Staying Local Indicator,2020 October 02,Galway,%,49.2,02/10/2020
Staying Local Indicator,2020 October 02,Limerick,%,53.5,02/10/2020
Staying Local Indicator,2020 October 02,Waterford,%,53.8,02/10/2020
Staying Local Indicator,2020 October 03,State,%,55.9,03/10/2020
Staying Local Indicator,2020 October 03,Cavan,%,45.4,03/10/2020
Staying Local Indicator,2020 October 03,Donegal,%,47.7,03/10/2020
Staying Local Indicator,2020 October 03,Leitrim,%,43.4,03/10/2020
Staying Local Indicator,2020 October 03,Louth,%,58.2,03/10/2020
Staying Local Indicator,2020 October 03,Monaghan,%,47.7,03/10/2020
Staying Local Indicator,2020 October 03,Sligo,%,46.7,03/10/2020
Staying Local Indicator,2020 October 03,Laois,%,45.4,03/10/2020
Staying Local Indicator,2020 October 03,Longford,%,46.9,03/10/2020
Staying Local Indicator,2020 October 03,Offaly,%,46.4,03/10/2020
Staying Local Indicator,2020 October 03,Westmeath,%,51.4,03/10/2020
Staying Local Indicator,2020 October 03,Mayo,%,42.4,03/10/2020
Staying Local Indicator,2020 October 03,Roscommon,%,43.2,03/10/2020
Staying Local Indicator,2020 October 03,Dublin,%,71.9,03/10/2020
Staying Local Indicator,2020 October 03,Kildare,%,50.9,03/10/2020
Staying Local Indicator,2020 October 03,Meath,%,51.4,03/10/2020
