"Statistic","Week","Age Group","Sex","UNIT","VALUE"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W20","All ages","Both sexes","Number","244329"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W20","All ages","Male","Number","153972"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W20","All ages","Female","Number","90240"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","Under 20 years","Both sexes","Number","5710"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","Under 20 years","Male","Number","3142"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","Under 20 years","Female","Number","2568"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","20 - 24 years","Both sexes","Number","24818"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","20 - 24 years","Male","Number","14040"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","20 - 24 years","Female","Number","10778"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","25 - 34 years","Both sexes","Number","58702"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","25 - 34 years","Male","Number","35907"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","25 - 34 years","Female","Number","22795"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","35 - 44 years","Both sexes","Number","75522"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","35 - 44 years","Male","Number","48293"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","35 - 44 years","Female","Number","27229"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","45 - 54 years","Both sexes","Number","59938"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","45 - 54 years","Male","Number","37545"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","45 - 54 years","Female","Number","22393"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","55 - 59 years","Both sexes","Number","20471"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","55 - 59 years","Male","Number","12436"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","55 - 59 years","Female","Number","8035"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","60 years and over","Both sexes","Number","22301"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","60 years and over","Male","Number","13733"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","60 years and over","Female","Number","8568"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","All ages","Both sexes","Number","267652"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","All ages","Male","Number","165150"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W21","All ages","Female","Number","102373"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","Under 20 years","Both sexes","Number","7397"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","Under 20 years","Male","Number","3955"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","Under 20 years","Female","Number","3442"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","20 - 24 years","Both sexes","Number","33741"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","20 - 24 years","Male","Number","18286"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","20 - 24 years","Female","Number","15455"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","25 - 34 years","Both sexes","Number","83841"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","25 - 34 years","Male","Number","48784"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","25 - 34 years","Female","Number","35057"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","35 - 44 years","Both sexes","Number","99222"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","35 - 44 years","Male","Number","61285"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","35 - 44 years","Female","Number","37937"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","45 - 54 years","Both sexes","Number","77083"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","45 - 54 years","Male","Number","46780"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","45 - 54 years","Female","Number","30303"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","55 - 59 years","Both sexes","Number","26224"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","55 - 59 years","Male","Number","15328"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","55 - 59 years","Female","Number","10896"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","60 years and over","Both sexes","Number","29110"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","60 years and over","Male","Number","17411"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","60 years and over","Female","Number","11699"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","All ages","Both sexes","Number","356902"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","All ages","Male","Number","211904"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W22","All ages","Female","Number","144796"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","Under 20 years","Both sexes","Number","5879"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","Under 20 years","Male","Number","3264"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","Under 20 years","Female","Number","2615"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","20 - 24 years","Both sexes","Number","24659"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","20 - 24 years","Male","Number","14212"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","20 - 24 years","Female","Number","10447"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","25 - 34 years","Both sexes","Number","54835"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","25 - 34 years","Male","Number","33689"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","25 - 34 years","Female","Number","21146"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","35 - 44 years","Both sexes","Number","70656"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","35 - 44 years","Male","Number","45389"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","35 - 44 years","Female","Number","25267"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","45 - 54 years","Both sexes","Number","56257"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","45 - 54 years","Male","Number","35051"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","45 - 54 years","Female","Number","21206"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","55 - 59 years","Both sexes","Number","19233"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","55 - 59 years","Male","Number","11650"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","55 - 59 years","Female","Number","7583"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","60 years and over","Both sexes","Number","20925"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","60 years and over","Male","Number","12815"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","60 years and over","Female","Number","8110"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","All ages","Both sexes","Number","252613"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","All ages","Male","Number","156118"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W23","All ages","Female","Number","96379"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","Under 20 years","Both sexes","Number","6535"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","Under 20 years","Male","Number","3599"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","Under 20 years","Female","Number","2936"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","20 - 24 years","Both sexes","Number","25294"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","20 - 24 years","Male","Number","14506"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","20 - 24 years","Female","Number","10788"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","25 - 34 years","Both sexes","Number","53191"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","25 - 34 years","Male","Number","32710"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","25 - 34 years","Female","Number","20481"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","35 - 44 years","Both sexes","Number","68560"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","35 - 44 years","Male","Number","44258"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","35 - 44 years","Female","Number","24302"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","45 - 54 years","Both sexes","Number","54318"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","45 - 54 years","Male","Number","33820"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","45 - 54 years","Female","Number","20498"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","55 - 59 years","Both sexes","Number","18589"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","55 - 59 years","Male","Number","11099"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","55 - 59 years","Female","Number","7490"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","60 years and over","Both sexes","Number","20346"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","60 years and over","Male","Number","12333"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","60 years and over","Female","Number","8013"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","All ages","Both sexes","Number","247000"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","All ages","Male","Number","152369"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W24","All ages","Female","Number","94513"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","Under 20 years","Both sexes","Number","6313"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","Under 20 years","Male","Number","3460"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","Under 20 years","Female","Number","2853"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","20 - 24 years","Both sexes","Number","26373"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","20 - 24 years","Male","Number","14772"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","20 - 24 years","Female","Number","11601"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","25 - 34 years","Both sexes","Number","57174"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","25 - 34 years","Male","Number","34165"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","25 - 34 years","Female","Number","23009"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","35 - 44 years","Both sexes","Number","72838"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","35 - 44 years","Male","Number","45645"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","35 - 44 years","Female","Number","27193"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","45 - 54 years","Both sexes","Number","58073"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","45 - 54 years","Male","Number","35075"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","45 - 54 years","Female","Number","22998"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","55 - 59 years","Both sexes","Number","20110"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","55 - 59 years","Male","Number","11772"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","55 - 59 years","Female","Number","8338"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","60 years and over","Both sexes","Number","21843"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","60 years and over","Male","Number","12991"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","60 years and over","Female","Number","8852"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","All ages","Both sexes","Number","262914"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","All ages","Male","Number","157928"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W25","All ages","Female","Number","104850"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","Under 20 years","Both sexes","Number","7352"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","Under 20 years","Male","Number","3937"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","Under 20 years","Female","Number","3415"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","20 - 24 years","Both sexes","Number","30640"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","20 - 24 years","Male","Number","16556"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","20 - 24 years","Female","Number","14084"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","25 - 34 years","Both sexes","Number","70515"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","25 - 34 years","Male","Number","40845"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","25 - 34 years","Female","Number","29670"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","35 - 44 years","Both sexes","Number","85339"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","35 - 44 years","Male","Number","52182"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","35 - 44 years","Female","Number","33157"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","45 - 54 years","Both sexes","Number","66573"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","45 - 54 years","Male","Number","39502"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","45 - 54 years","Female","Number","27071"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","55 - 59 years","Both sexes","Number","22759"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","55 - 59 years","Male","Number","13005"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","55 - 59 years","Female","Number","9754"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","60 years and over","Both sexes","Number","25084"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","60 years and over","Male","Number","14641"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","60 years and over","Female","Number","10443"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","All ages","Both sexes","Number","308491"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","All ages","Male","Number","180724"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W26","All ages","Female","Number","127602"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","Under 20 years","Both sexes","Number","7530"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","Under 20 years","Male","Number","3796"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","Under 20 years","Female","Number","3734"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","20 - 24 years","Both sexes","Number","31007"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","20 - 24 years","Male","Number","16270"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","20 - 24 years","Female","Number","14737"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","25 - 34 years","Both sexes","Number","67249"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","25 - 34 years","Male","Number","37876"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","25 - 34 years","Female","Number","29373"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","35 - 44 years","Both sexes","Number","80719"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","35 - 44 years","Male","Number","48563"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","35 - 44 years","Female","Number","32156"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","45 - 54 years","Both sexes","Number","63858"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","45 - 54 years","Male","Number","37541"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","45 - 54 years","Female","Number","26317"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","55 - 59 years","Both sexes","Number","21987"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","55 - 59 years","Male","Number","12548"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","55 - 59 years","Female","Number","9439"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","60 years and over","Both sexes","Number","24216"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","60 years and over","Male","Number","14076"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","60 years and over","Female","Number","10140"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","All ages","Both sexes","Number","296780"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","All ages","Male","Number","170718"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W27","All ages","Female","Number","125902"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","Under 20 years","Both sexes","Number","9604"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","Under 20 years","Male","Number","4419"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","Under 20 years","Female","Number","5185"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","20 - 24 years","Both sexes","Number","33495"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","20 - 24 years","Male","Number","16483"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","20 - 24 years","Female","Number","17012"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","25 - 34 years","Both sexes","Number","57279"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","25 - 34 years","Male","Number","32040"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","25 - 34 years","Female","Number","25239"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","35 - 44 years","Both sexes","Number","68160"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","35 - 44 years","Male","Number","40996"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","35 - 44 years","Female","Number","27164"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","45 - 54 years","Both sexes","Number","52883"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","45 - 54 years","Male","Number","30866"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","45 - 54 years","Female","Number","22017"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","55 - 59 years","Both sexes","Number","18162"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","55 - 59 years","Male","Number","10139"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","55 - 59 years","Female","Number","8023"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","60 years and over","Both sexes","Number","19634"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","60 years and over","Male","Number","11202"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","60 years and over","Female","Number","8432"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","All ages","Both sexes","Number","259403"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","All ages","Male","Number","146185"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W28","All ages","Female","Number","113081"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","Under 20 years","Both sexes","Number","9646"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","Under 20 years","Male","Number","4354"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","Under 20 years","Female","Number","5292"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","20 - 24 years","Both sexes","Number","33761"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","20 - 24 years","Male","Number","16443"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","20 - 24 years","Female","Number","17318"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","25 - 34 years","Both sexes","Number","59111"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","25 - 34 years","Male","Number","32610"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","25 - 34 years","Female","Number","26501"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","35 - 44 years","Both sexes","Number","69897"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","35 - 44 years","Male","Number","41145"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","35 - 44 years","Female","Number","28752"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","45 - 54 years","Both sexes","Number","54554"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","45 - 54 years","Male","Number","31373"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","45 - 54 years","Female","Number","23181"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","55 - 59 years","Both sexes","Number","18958"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","55 - 59 years","Male","Number","10583"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","55 - 59 years","Female","Number","8375"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","60 years and over","Both sexes","Number","20307"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","60 years and over","Male","Number","11574"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","60 years and over","Female","Number","8733"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","All ages","Both sexes","Number","266420"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","All ages","Male","Number","148122"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W29","All ages","Female","Number","118156"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","Under 20 years","Both sexes","Number","10833"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","Under 20 years","Male","Number","4825"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","Under 20 years","Female","Number","6008"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","20 - 24 years","Both sexes","Number","36945"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","20 - 24 years","Male","Number","17568"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","20 - 24 years","Female","Number","19377"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","25 - 34 years","Both sexes","Number","63852"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","25 - 34 years","Male","Number","34403"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","25 - 34 years","Female","Number","29449"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","35 - 44 years","Both sexes","Number","74330"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","35 - 44 years","Male","Number","43049"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","35 - 44 years","Female","Number","31281"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","45 - 54 years","Both sexes","Number","57034"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","45 - 54 years","Male","Number","32339"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","45 - 54 years","Female","Number","24695"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","55 - 59 years","Both sexes","Number","19498"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","55 - 59 years","Male","Number","10663"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","55 - 59 years","Female","Number","8835"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","60 years and over","Both sexes","Number","21132"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","60 years and over","Male","Number","11851"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","60 years and over","Female","Number","9281"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","All ages","Both sexes","Number","283833"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","All ages","Male","Number","154740"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W30","All ages","Female","Number","128935"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","Under 20 years","Both sexes","Number","11175"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","Under 20 years","Male","Number","4916"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","Under 20 years","Female","Number","6259"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","20 - 24 years","Both sexes","Number","40333"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","20 - 24 years","Male","Number","19156"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","20 - 24 years","Female","Number","21177"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","25 - 34 years","Both sexes","Number","76449"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","25 - 34 years","Male","Number","40675"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","25 - 34 years","Female","Number","35774"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","35 - 44 years","Both sexes","Number","86607"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","35 - 44 years","Male","Number","49065"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","35 - 44 years","Female","Number","37542"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","45 - 54 years","Both sexes","Number","67301"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","45 - 54 years","Male","Number","37563"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","45 - 54 years","Female","Number","29738"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","55 - 59 years","Both sexes","Number","23230"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","55 - 59 years","Male","Number","12582"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","55 - 59 years","Female","Number","10648"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","60 years and over","Both sexes","Number","25776"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","60 years and over","Male","Number","14371"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","60 years and over","Female","Number","11405"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","All ages","Both sexes","Number","331103"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","All ages","Male","Number","178379"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W31","All ages","Female","Number","152548"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","Under 20 years","Both sexes","Number","11138"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","Under 20 years","Male","Number","4945"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","Under 20 years","Female","Number","6193"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","20 - 24 years","Both sexes","Number","36591"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","20 - 24 years","Male","Number","17432"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","20 - 24 years","Female","Number","19159"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","25 - 34 years","Both sexes","Number","57750"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","25 - 34 years","Male","Number","31166"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","25 - 34 years","Female","Number","26584"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","35 - 44 years","Both sexes","Number","66891"
"Persons in receipt of the Temporary Wage Subsidy Scheme","2020W32","35 - 44 years","Male","Number","38697"
